nome,siglaPartido,siglaUf,urlFoto
GEORGE HILTON,PSC,MG,http://www.camara.leg.br/internet/deputado/bandep/141441.jpg
GEOVANIA DE SÁ,PSDB,SC,http://www.camara.leg.br/internet/deputado/bandep/178966.jpg
GERALDO RESENDE,PSDB,MS,http://www.camara.leg.br/internet/deputado/bandep/74374.jpg
GIACOBO,PR,PR,http://www.camara.leg.br/internet/deputado/bandep/74383.jpg
GILBERTO NASCIMENTO,PSC,SP,http://www.camara.leg.br/internet/deputado/bandep/74270.jpg
GIOVANI CHERINI,PR,RS,http://www.camara.leg.br/internet/deputado/bandep/160673.jpg
GIOVANI FELTES,MDB,RS,http://www.camara.leg.br/internet/deputado/bandep/178996.jpg
GIUSEPPE VECCI,PSDB,GO,http://www.camara.leg.br/internet/deputado/bandep/178878.jpg
GIVALDO CARIMBÃO,AVANTE,AL,http://www.camara.leg.br/internet/deputado/bandep/74558.jpg
GIVALDO VIEIRA,PCdoB,ES,http://www.camara.leg.br/internet/deputado/bandep/178872.jpg
GLAUBER BRAGA,PSOL,RJ,http://www.camara.leg.br/internet/deputado/bandep/152605.jpg
GONZAGA PATRIOTA,PSB,PE,http://www.camara.leg.br/internet/deputado/bandep/74419.jpg
GORETE PEREIRA,PR,CE,http://www.camara.leg.br/internet/deputado/bandep/129618.jpg
GOULART,PSD,SP,http://www.camara.leg.br/internet/deputado/bandep/178980.jpg
GUILHERME MUSSI,PP,SP,http://www.camara.leg.br/internet/deputado/bandep/160667.jpg
HEITOR SCHUCH,PSB,RS,http://www.camara.leg.br/internet/deputado/bandep/178964.jpg
HELDER SALOMÃO,PT,ES,http://www.camara.leg.br/internet/deputado/bandep/178873.jpg
HÉLIO LEITE,DEM,PA,http://www.camara.leg.br/internet/deputado/bandep/178909.jpg
HENRIQUE FONTANA,PT,RS,http://www.camara.leg.br/internet/deputado/bandep/73482.jpg
HERÁCLITO FORTES,DEM,PI,http://www.camara.leg.br/internet/deputado/bandep/97707.jpg
HERCULANO PASSOS,MDB,SP,http://www.camara.leg.br/internet/deputado/bandep/178981.jpg
HERMES PARCIANELLO,MDB,PR,http://www.camara.leg.br/internet/deputado/bandep/73772.jpg
HEULER CRUVINEL,PP,GO,http://www.camara.leg.br/internet/deputado/bandep/160596.jpg
HILDO ROCHA,MDB,MA,http://www.camara.leg.br/internet/deputado/bandep/178884.jpg
HIRAN GONÇALVES,PP,RR,http://www.camara.leg.br/internet/deputado/bandep/178959.jpg
HISSA ABRAHÃO,PDT,AM,http://www.camara.leg.br/internet/deputado/bandep/178849.jpg
HUGO LEAL,PSD,RJ,http://www.camara.leg.br/internet/deputado/bandep/141450.jpg
HUGO MOTTA,PRB,PB,http://www.camara.leg.br/internet/deputado/bandep/160674.jpg
INDIO DA COSTA,PSD,RJ,http://www.camara.leg.br/internet/deputado/bandep/141389.jpg
IRACEMA PORTELLA,PP,PI,http://www.camara.leg.br/internet/deputado/bandep/67138.jpg
IRAJÁ ABREU,PSD,TO,http://www.camara.leg.br/internet/deputado/bandep/81232.jpg
IRMÃO LAZARO,PSC,BA,http://www.camara.leg.br/internet/deputado/bandep/178855.jpg
IVAN VALENTE,PSOL,SP,http://www.camara.leg.br/internet/deputado/bandep/73531.jpg
IZALCI LUCAS,PSDB,DF,http://www.camara.leg.br/internet/deputado/bandep/4931.jpg
JAIME MARTINS,PROS,MG,http://www.camara.leg.br/internet/deputado/bandep/74665.jpg
JAIR BOLSONARO,PSL,RJ,http://www.camara.leg.br/internet/deputado/bandep/74847.jpg
JANDIRA FEGHALI,PCdoB,RJ,http://www.camara.leg.br/internet/deputado/bandep/74848.jpg
JANETE CAPIBERIBE,PSB,AP,http://www.camara.leg.br/internet/deputado/bandep/73926.jpg
JARBAS VASCONCELOS,MDB,PE,http://www.camara.leg.br/internet/deputado/bandep/131943.jpg
